user_id,name,city,interests,moods,language,art_interests,genres
U0000,User_0,colombo,"['dance', 'music', 'drama']","['energetic', 'engaging']",english,"['dance', 'music', 'drama']","['political_theatre', 'rock']"
U0001,User_1,galle,"['dance', 'film', 'drama']","['energetic', 'engaging']",sinhala,"['dance', 'film', 'drama']","['comedy', 'fusion', 'immersive_theatre']"
U0002,User_2,kandy,['drama'],"['engaging', 'energetic']",sinhala,['drama'],"['historical', 'contemporary', 'sinhala_rap', 'tamil_classical', 'alternative_rock']"
U0003,User_3,jaffna,['music'],"['engaging', 'energetic']",english,['music'],"['sinhala_commercial', 'documentary', 'biographical']"
U0004,User_4,matara,['music'],"['engaging', 'energetic']",sinhala,['music'],"['sinhala_rap', 'baila', 'rock', 'film_songs']"
U0005,User_5,kurunegala,"['dance', 'drama', 'music']","['engaging', 'energetic']",sinhala,"['dance', 'drama', 'music']","['pop', 'ballads', 'baila']"
U0006,User_6,nuwara_eliya,"['drama', 'music', 'dance']","['energetic', 'engaging']",english,"['drama', 'music', 'dance']","['film_songs', 'kandyan_dance', 'social_drama', 'drama']"
U0007,User_7,badulla,['film'],"['energetic', 'engaging']",sinhala,['film'],"['immersive_theatre', 'kandyan_dance']"
U0008,User_8,gampaha,['drama'],"['engaging', 'energetic']",sinhala,['drama'],"['kandyan_dance', 'pop', 'hip_hop', 'comedy']"
U0009,User_9,colombo,"['film', 'dance', 'music']","['engaging', 'energetic']",english,"['film', 'dance', 'music']","['ballads', 'classical_semi_classical', 'historical', 'tamil_folk']"
U0010,User_10,galle,"['film', 'dance', 'drama']","['engaging', 'energetic']",sinhala,"['film', 'dance', 'drama']","['biography', 'comedy', 'rock', 'hip_hop']"
U0011,User_11,kandy,"['film', 'music', 'drama']","['engaging', 'energetic']",sinhala,"['film', 'music', 'drama']","['biography', 'fusion', 'folk']"
U0012,User_12,jaffna,['dance'],"['energetic', 'engaging']",english,['dance'],"['immersive_theatre', 'ballads', 'experimental', 'film_songs', 'fusion']"
U0013,User_13,matara,"['dance', 'film']","['energetic', 'engaging']",sinhala,"['dance', 'film']","['biographical', 'devotional_religious', 'family_drama', 'classical_ballet']"
U0014,User_14,kurunegala,"['dance', 'film']","['engaging', 'energetic']",sinhala,"['dance', 'film']","['tamil_classical', 'kandyan_dance']"
U0015,User_15,nuwara_eliya,"['drama', 'dance']","['energetic', 'engaging']",english,"['drama', 'dance']","['folk', 'alternative_rock', 'biographical', 'drama']"
U0016,User_16,badulla,"['drama', 'dance']","['energetic', 'engaging']",sinhala,"['drama', 'dance']","['social_drama', 'ballads', 'sinhala_commercial', 'hip_hop', 'biography']"
U0017,User_17,gampaha,['music'],"['energetic', 'engaging']",sinhala,['music'],"['classical_semi_classical', 'hip_hop', 'sinhala_commercial', 'rock', 'pop']"
U0018,User_18,colombo,['film'],"['engaging', 'energetic']",english,['film'],"['biographical', 'comedy', 'ballads', 'documentary', 'alternative_rock']"
U0019,User_19,galle,"['drama', 'film', 'dance']","['energetic', 'engaging']",sinhala,"['drama', 'film', 'dance']","['ballads', 'tamil_folk', 'baila']"
U0020,User_20,kandy,"['dance', 'film']","['engaging', 'energetic']",sinhala,"['dance', 'film']","['hip_hop', 'biography', 'rock']"
U0021,User_21,jaffna,"['music', 'dance', 'drama']","['energetic', 'engaging']",english,"['music', 'dance', 'drama']","['political_theatre', 'family_drama']"
U0022,User_22,matara,"['music', 'drama']","['energetic', 'engaging']",sinhala,"['music', 'drama']","['experimental', 'rock']"
U0023,User_23,kurunegala,"['dance', 'music']","['energetic', 'engaging']",sinhala,"['dance', 'music']","['family_drama', 'classical_ballet', 'contemporary']"
U0024,User_24,nuwara_eliya,"['drama', 'dance']","['energetic', 'engaging']",english,"['drama', 'dance']","['ballads', 'sinhala_commercial']"
U0025,User_25,badulla,['drama'],"['engaging', 'energetic']",sinhala,['drama'],"['tamil_classical', 'experimental', 'tamil_folk']"
U0026,User_26,gampaha,['drama'],"['energetic', 'engaging']",sinhala,['drama'],"['sinhala_rap', 'film_songs', 'devotional_religious', 'family_drama']"
U0027,User_27,colombo,"['music', 'dance', 'film']","['energetic', 'engaging']",english,"['music', 'dance', 'film']","['rock', 'documentary']"
U0028,User_28,galle,['dance'],"['engaging', 'energetic']",sinhala,['dance'],"['fusion', 'ballads']"
U0029,User_29,kandy,['dance'],"['energetic', 'engaging']",sinhala,['dance'],"['biographical', 'tamil_folk', 'historical', 'comedy', 'immersive_theatre']"
U0030,User_30,jaffna,['dance'],"['engaging', 'energetic']",english,['dance'],"['political_theatre', 'pop', 'documentary']"
U0031,User_31,matara,['film'],"['energetic', 'engaging']",sinhala,['film'],"['documentary', 'sinhala_commercial', 'ballads', 'alternative_rock', 'film_songs']"
U0032,User_32,kurunegala,"['dance', 'music', 'film']","['engaging', 'energetic']",sinhala,"['dance', 'music', 'film']","['tamil_folk', 'ballads', 'comedy', 'drama']"
U0033,User_33,nuwara_eliya,"['drama', 'music']","['engaging', 'energetic']",english,"['drama', 'music']","['political_theatre', 'biographical', 'tamil_folk', 'biography']"
U0034,User_34,badulla,"['dance', 'music']","['energetic', 'engaging']",sinhala,"['dance', 'music']","['immersive_theatre', 'classical_semi_classical', 'pop', 'documentary']"
U0035,User_35,gampaha,['film'],"['engaging', 'energetic']",sinhala,['film'],"['ballads', 'kandyan_dance']"
U0036,User_36,colombo,"['film', 'dance']","['engaging', 'energetic']",english,"['film', 'dance']","['classical_ballet', 'rock', 'film_songs', 'hip_hop']"
U0037,User_37,galle,"['music', 'film', 'dance']","['energetic', 'engaging']",sinhala,"['music', 'film', 'dance']","['social_drama', 'drama']"
U0038,User_38,kandy,"['drama', 'music', 'dance']","['engaging', 'energetic']",sinhala,"['drama', 'music', 'dance']","['tamil_folk', 'drama']"
U0039,User_39,jaffna,['drama'],"['energetic', 'engaging']",english,['drama'],"['immersive_theatre', 'rock', 'biography', 'comedy', 'tamil_classical']"
U0040,User_40,matara,['drama'],"['energetic', 'engaging']",sinhala,['drama'],"['sinhala_rap', 'family_drama', 'political_theatre', 'tamil_classical']"
U0041,User_41,kurunegala,"['drama', 'music', 'dance']","['energetic', 'engaging']",sinhala,"['drama', 'music', 'dance']","['tamil_classical', 'folk']"
U0042,User_42,nuwara_eliya,['drama'],"['engaging', 'energetic']",english,['drama'],"['comedy', 'alternative_rock', 'political_theatre']"
U0043,User_43,badulla,['music'],"['engaging', 'energetic']",sinhala,['music'],"['drama', 'kandyan_dance', 'fusion', 'experimental']"
U0044,User_44,gampaha,"['film', 'dance', 'music']","['energetic', 'engaging']",sinhala,"['film', 'dance', 'music']","['biographical', 'immersive_theatre']"
U0045,User_45,colombo,"['film', 'music']","['engaging', 'energetic']",english,"['film', 'music']","['tamil_folk', 'historical', 'classical_semi_classical', 'contemporary', 'baila']"
U0046,User_46,galle,"['music', 'dance', 'film']","['engaging', 'energetic']",sinhala,"['music', 'dance', 'film']","['immersive_theatre', 'documentary', 'political_theatre', 'tamil_classical']"
U0047,User_47,kandy,['film'],"['engaging', 'energetic']",sinhala,['film'],"['experimental', 'pop', 'devotional_religious', 'hip_hop']"
U0048,User_48,jaffna,['drama'],"['engaging', 'energetic']",english,['drama'],"['experimental', 'hip_hop', 'social_drama', 'alternative_rock']"
U0049,User_49,matara,"['film', 'dance']","['engaging', 'energetic']",sinhala,"['film', 'dance']","['film_songs', 'political_theatre', 'classical_semi_classical', 'fusion', 'folk']"
U0050,User_50,kurunegala,"['drama', 'film', 'dance']","['engaging', 'energetic']",sinhala,"['drama', 'film', 'dance']","['political_theatre', 'devotional_religious', 'comedy']"
U0051,User_51,nuwara_eliya,['drama'],"['energetic', 'engaging']",english,['drama'],"['immersive_theatre', 'tamil_classical', 'sinhala_commercial', 'ballads', 'film_songs']"
U0052,User_52,badulla,"['drama', 'film']","['engaging', 'energetic']",sinhala,"['drama', 'film']","['comedy', 'biography', 'kandyan_dance', 'pop', 'alternative_rock']"
U0053,User_53,gampaha,['music'],"['energetic', 'engaging']",sinhala,['music'],"['hip_hop', 'comedy']"
U0054,User_54,colombo,['music'],"['engaging', 'energetic']",english,['music'],"['immersive_theatre', 'social_drama', 'rock', 'tamil_folk', 'fusion']"
U0055,User_55,galle,"['music', 'dance']","['engaging', 'energetic']",sinhala,"['music', 'dance']","['sinhala_commercial', 'comedy', 'social_drama', 'kandyan_dance']"
U0056,User_56,kandy,"['music', 'film']","['engaging', 'energetic']",sinhala,"['music', 'film']","['pop', 'devotional_religious']"
U0057,User_57,jaffna,['film'],"['engaging', 'energetic']",english,['film'],"['biography', 'comedy', 'experimental']"
U0058,User_58,matara,"['drama', 'film', 'dance']","['engaging', 'energetic']",sinhala,"['drama', 'film', 'dance']","['hip_hop', 'film_songs', 'family_drama', 'baila']"
U0059,User_59,kurunegala,['music'],"['energetic', 'engaging']",sinhala,['music'],"['alternative_rock', 'drama', 'devotional_religious', 'sinhala_commercial', 'experimental']"
U0060,User_60,nuwara_eliya,"['drama', 'music']","['engaging', 'energetic']",english,"['drama', 'music']","['alternative_rock', 'experimental', 'documentary', 'political_theatre', 'sinhala_rap']"
U0061,User_61,badulla,"['drama', 'music']","['energetic', 'engaging']",sinhala,"['drama', 'music']","['ballads', 'kandyan_dance']"
U0062,User_62,gampaha,"['drama', 'music']","['energetic', 'engaging']",sinhala,"['drama', 'music']","['documentary', 'classical_semi_classical', 'film_songs', 'sinhala_commercial', 'tamil_folk']"
U0063,User_63,colombo,"['film', 'drama']","['energetic', 'engaging']",english,"['film', 'drama']","['rock', 'hip_hop']"
U0064,User_64,galle,['film'],"['energetic', 'engaging']",sinhala,['film'],"['comedy', 'classical_semi_classical']"
U0065,User_65,kandy,['drama'],"['energetic', 'engaging']",sinhala,['drama'],"['historical', 'classical_semi_classical']"
U0066,User_66,jaffna,"['film', 'drama']","['energetic', 'engaging']",english,"['film', 'drama']","['biographical', 'historical', 'alternative_rock', 'devotional_religious']"
U0067,User_67,matara,"['music', 'drama', 'dance']","['energetic', 'engaging']",sinhala,"['music', 'drama', 'dance']","['tamil_classical', 'political_theatre', 'immersive_theatre', 'sinhala_rap']"
U0068,User_68,kurunegala,['dance'],"['engaging', 'energetic']",sinhala,['dance'],"['fusion', 'kandyan_dance']"
U0069,User_69,nuwara_eliya,"['dance', 'drama']","['energetic', 'engaging']",english,"['dance', 'drama']","['kandyan_dance', 'tamil_folk', 'social_drama', 'film_songs']"
U0070,User_70,badulla,"['drama', 'music', 'dance']","['engaging', 'energetic']",sinhala,"['drama', 'music', 'dance']","['family_drama', 'social_drama', 'rock', 'historical', 'contemporary']"
U0071,User_71,gampaha,"['drama', 'dance']","['engaging', 'energetic']",sinhala,"['drama', 'dance']","['historical', 'immersive_theatre', 'political_theatre', 'experimental', 'documentary']"
U0072,User_72,colombo,['music'],"['energetic', 'engaging']",english,['music'],"['drama', 'sinhala_rap', 'contemporary']"
U0073,User_73,galle,"['film', 'music']","['engaging', 'energetic']",sinhala,"['film', 'music']","['ballads', 'comedy', 'rock']"
U0074,User_74,kandy,"['music', 'film']","['engaging', 'energetic']",sinhala,"['music', 'film']","['sinhala_rap', 'alternative_rock', 'ballads', 'devotional_religious', 'comedy']"
U0075,User_75,jaffna,"['drama', 'music']","['engaging', 'energetic']",english,"['drama', 'music']","['family_drama', 'rock', 'hip_hop', 'documentary']"
U0076,User_76,matara,"['music', 'drama']","['engaging', 'energetic']",sinhala,"['music', 'drama']","['rock', 'classical_semi_classical']"
U0077,User_77,kurunegala,"['dance', 'film']","['energetic', 'engaging']",sinhala,"['dance', 'film']","['rock', 'folk', 'contemporary']"
U0078,User_78,nuwara_eliya,"['film', 'dance', 'music']","['energetic', 'engaging']",english,"['film', 'dance', 'music']","['devotional_religious', 'alternative_rock', 'pop']"
U0079,User_79,badulla,"['drama', 'music', 'dance']","['engaging', 'energetic']",sinhala,"['drama', 'music', 'dance']","['biographical', 'tamil_classical', 'alternative_rock', 'historical', 'devotional_religious']"
U0080,User_80,gampaha,"['music', 'drama']","['energetic', 'engaging']",sinhala,"['music', 'drama']","['tamil_classical', 'folk', 'biographical', 'social_drama']"
U0081,User_81,colombo,['music'],"['energetic', 'engaging']",english,['music'],"['biography', 'sinhala_rap', 'historical']"
U0082,User_82,galle,"['dance', 'music']","['engaging', 'energetic']",sinhala,"['dance', 'music']","['film_songs', 'devotional_religious', 'tamil_classical', 'historical', 'family_drama']"
U0083,User_83,kandy,"['dance', 'film']","['energetic', 'engaging']",sinhala,"['dance', 'film']","['contemporary', 'political_theatre', 'ballads']"
U0084,User_84,jaffna,['drama'],"['energetic', 'engaging']",english,['drama'],"['family_drama', 'film_songs']"
U0085,User_85,matara,"['music', 'drama', 'dance']","['engaging', 'energetic']",sinhala,"['music', 'drama', 'dance']","['ballads', 'political_theatre', 'comedy', 'contemporary', 'sinhala_rap']"
U0086,User_86,kurunegala,"['drama', 'music', 'dance']","['energetic', 'engaging']",sinhala,"['drama', 'music', 'dance']","['social_drama', 'biography', 'ballads', 'baila']"
U0087,User_87,nuwara_eliya,['film'],"['engaging', 'energetic']",english,['film'],"['film_songs', 'pop']"
U0088,User_88,badulla,"['music', 'drama']","['engaging', 'energetic']",sinhala,"['music', 'drama']","['immersive_theatre', 'baila']"
U0089,User_89,gampaha,"['film', 'music']","['energetic', 'engaging']",sinhala,"['film', 'music']","['political_theatre', 'social_drama', 'tamil_classical']"
U0090,User_90,colombo,"['dance', 'film', 'drama']","['energetic', 'engaging']",english,"['dance', 'film', 'drama']","['fusion', 'kandyan_dance', 'film_songs', 'contemporary', 'classical_ballet']"
U0091,User_91,galle,"['music', 'film', 'drama']","['engaging', 'energetic']",sinhala,"['music', 'film', 'drama']","['documentary', 'political_theatre', 'biographical', 'tamil_classical', 'classical_ballet']"
U0092,User_92,kandy,"['music', 'film']","['engaging', 'energetic']",sinhala,"['music', 'film']","['film_songs', 'ballads']"
U0093,User_93,jaffna,"['film', 'drama']","['engaging', 'energetic']",english,"['film', 'drama']","['family_drama', 'baila', 'classical_semi_classical', 'fusion', 'drama']"
U0094,User_94,matara,"['music', 'film', 'drama']","['energetic', 'engaging']",sinhala,"['music', 'film', 'drama']","['devotional_religious', 'film_songs', 'tamil_folk']"
U0095,User_95,kurunegala,"['music', 'dance', 'film']","['energetic', 'engaging']",sinhala,"['music', 'dance', 'film']","['hip_hop', 'alternative_rock', 'family_drama', 'ballads']"
U0096,User_96,nuwara_eliya,['dance'],"['energetic', 'engaging']",english,['dance'],"['pop', 'devotional_religious', 'fusion', 'contemporary', 'family_drama']"
U0097,User_97,badulla,"['music', 'dance']","['energetic', 'engaging']",sinhala,"['music', 'dance']","['immersive_theatre', 'fusion', 'rock']"
U0098,User_98,gampaha,['dance'],"['engaging', 'energetic']",sinhala,['dance'],"['social_drama', 'alternative_rock', 'devotional_religious', 'rock']"
U0099,User_99,colombo,"['music', 'dance']","['engaging', 'energetic']",english,"['music', 'dance']","['hip_hop', 'sinhala_commercial', 'experimental', 'film_songs']"
